date,pid,race,bets,stake,payout,hit,hit_combo
20250810,13,2R,13,1300,2050,1,3-4-1
20250810,13,3R,14,1400,3310,1,2-3-6
20250810,13,4R,13,1300,1930,1,2-5-4
20250810,13,5R,12,1200,0,0,1-6-2
20250810,13,6R,8,800,0,0,1-4-6
20250810,13,7R,14,1400,0,0,2-4-6
20250810,13,8R,6,600,0,0,6-4-1
20250810,13,9R,12,1200,0,0,1-3-5
20250810,15,10R,10,1000,0,0,1-2-6
20250810,15,11R,10,1000,0,0,1-5-3
20250810,15,12R,10,1000,0,0,1-5-2
20250810,15,1R,14,1400,7780,1,3-4-2
20250810,15,2R,9,900,4370,1,2-1-4
20250810,15,3R,13,1300,0,0,1-2-5
20250810,15,4R,17,1700,0,0,1-4-3
20250810,15,5R,9,900,0,0,3-2-6
20250810,15,6R,13,1300,0,0,1-2-3
20250810,15,7R,5,500,0,0,1-2-3
20250810,15,8R,7,700,0,0,1-5-4
20250810,15,9R,4,400,0,0,1-4-5
20250810,16,10R,15,1500,0,0,2-5-6
20250810,16,11R,6,600,0,0,1-3-4
20250810,16,12R,9,900,0,0,1-4-5
20250810,16,1R,14,1400,0,0,1-4-2
20250810,16,2R,18,1800,0,0,4-3-1
20250810,16,3R,16,1600,11240,1,2-1-6
20250810,16,4R,15,1500,0,0,2-3-6
20250810,16,5R,15,1500,4660,1,2-6-3
20250810,16,6R,16,1600,2630,1,2-4-1
20250810,16,7R,10,1000,1230,1,5-1-6
20250810,16,8R,14,1400,770,1,2-1-4
20250810,16,9R,13,1300,0,0,1-3-4
20250810,18,10R,12,1200,0,0,1-3-6
20250810,18,11R,16,1600,0,0,1-2-3
20250810,18,12R,13,1300,0,0,1-2-4
20250810,18,1R,9,900,0,0,1-3-5
20250810,18,2R,6,600,7070,1,2-1-4
20250810,18,3R,7,700,0,0,1-4-3
20250810,18,4R,8,800,0,0,1-2-3
20250810,18,5R,10,1000,0,0,1-2-5
20250810,18,6R,16,1600,0,0,1-2-3
20250810,18,7R,13,1300,7690,1,3-1-2
20250810,18,8R,13,1300,0,0,2-3-6
20250810,18,9R,14,1400,0,0,2-5-3
20250810,19,10R,4,400,0,0,1-3-2
20250810,19,11R,6,600,0,0,1-6-3
20250810,19,12R,11,1100,22640,1,2-3-1
20250810,19,1R,12,1200,0,0,1-2-4
20250810,19,2R,10,1000,0,0,2-4-3
20250810,19,3R,17,1700,0,0,3-5-4
20250810,19,4R,13,1300,1290,1,2-1-4
20250810,19,5R,10,1000,5440,1,2-3-1
20250810,19,6R,16,1600,4050,1,4-1-3
20250810,19,7R,6,600,0,0,5-4-1
20250810,19,8R,14,1400,0,0,3-4-5
20250810,19,9R,5,500,0,0,1-4-5
20250810,21,10R,10,1000,0,0,
20250810,21,11R,8,800,0,0,
20250810,21,12R,5,500,0,0,
20250810,21,1R,6,600,0,0,1-2-5
20250810,21,2R,12,1200,0,0,1-4-3
20250810,21,3R,15,1500,390,1,3-1-5
20250810,21,4R,7,700,0,0,1-5-3
20250810,21,5R,9,900,0,0,1-2-4
20250810,21,6R,15,1500,1310,1,2-1-5
20250810,21,7R,8,800,0,0,1-3-5
20250810,21,8R,11,1100,0,0,6-1-3
20250810,21,9R,10,1000,0,0,
20250810,23,10R,17,1700,0,0,2-3-6
20250810,23,11R,13,1300,0,0,1-3-4
20250810,23,12R,12,1200,0,0,3-5-4
20250810,23,1R,4,400,0,0,1-5-4
20250810,23,2R,6,600,0,0,1-2-4
20250810,23,3R,5,500,0,0,3-1-6
20250810,23,4R,12,1200,0,0,1-6-4
20250810,23,6R,15,1500,0,0,4-5-2
20250810,23,7R,16,1600,0,0,3-2-4
20250810,23,8R,11,1100,1040,1,4-1-2
